x,y,z
-0.355332,0.932529,0.0642505
-0.37618,0.919524,0.113858
-0.384397,0.916018,0.114672
-0.391352,0.914214,0.105152
-0.396839,0.91227,0.101404
-0.402078,0.910401,0.0974899
-0.404228,0.909325,0.0986286
-0.403329,0.909084,0.104368
-0.397788,0.910718,0.11116
-0.395593,0.911379,0.113555
-0.398164,0.909649,0.11834
-0.400642,0.909069,0.114368
-0.40363,0.907945,0.112783
-0.405198,0.906491,0.118698
-0.405954,0.905865,0.120875
-0.408861,0.905262,0.115472
-0.411627,0.904972,0.107652
-0.411499,0.905019,0.107744
-0.410134,0.905177,0.11155
-0.409006,0.905283,0.114793
-0.407072,0.905738,0.118029
-0.409907,0.90346,0.125445
-0.412609,0.901975,0.127261
-0.418174,0.900363,0.120317
-0.425444,0.897357,0.117248
-0.431323,0.894138,0.12032
-0.439257,0.888806,0.130682
-0.49148,0.862577,0.120037
-0.530025,0.842722,0.0943028
-0.546592,0.834164,0.0735345
-0.558056,0.829137,0.0332577
-0.560475,0.828134,-0.00789537
-0.568109,0.82188,-0.0420263
-0.562254,0.821844,-0.0918888
-0.558402,0.818946,-0.132344
-0.542002,0.826001,-0.154781
-0.537889,0.822889,-0.183107
-0.52673,0.825137,-0.204217
-0.523844,0.825852,-0.208701
-0.525141,0.828298,-0.195317
-0.522648,0.834547,-0.174273
-0.522562,0.837157,-0.161544
-0.525178,0.842036,-0.123141
-0.524217,0.847553,-0.0827716
-0.510367,0.859177,-0.0366111
-0.486471,0.873521,0.0175127
-0.471106,0.88088,0.0459408
-0.448635,0.890721,0.0730983
-0.424752,0.900843,0.0898146
-0.401824,0.908401,0.115522
-0.400344,0.903242,0.154527
-0.393765,0.899548,0.189112
-0.395534,0.892335,0.217465
-0.41845,0.881011,0.220725
-0.456509,0.856526,0.240754
-0.474053,0.842458,0.256005
-0.473764,0.839308,0.266664
-0.468406,0.839436,0.275576
-0.470622,0.84243,0.26235
-0.480193,0.839601,0.253938
-0.485656,0.838179,0.248183
-0.483295,0.83895,0.250177
-0.483657,0.839482,0.247682
-0.4882,0.839794,0.237499
-0.488936,0.838986,0.238838
-0.489414,0.841256,0.229698
-0.488294,0.843856,0.222432
-0.489643,0.844803,0.215772
-0.489289,0.847115,0.207346
-0.485367,0.847469,0.214978
-0.479758,0.849138,0.220901
-0.479218,0.852634,0.208244
-0.480386,0.855939,0.191306
-0.478291,0.863456,0.160253
-0.466165,0.874276,0.135394
-0.447182,0.886364,0.119948
-0.388288,0.916842,0.0929166
-0.392487,0.912206,0.117619
-0.399692,0.906949,0.133003
-0.403804,0.904883,0.134646
-0.406596,0.902006,0.145139
-0.411293,0.897531,0.158984
-0.415904,0.893257,0.170634
-0.422852,0.889581,0.172747
